,Country,Alcohol use,Drug use,Unsafe sex,Smoking,Low physical activity,Diet low in fruits,Diet low in vegetables,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
0,Afghanistan,453.88454479999996,650.4117173999999,672.0673828,7945.426626,4719.902798,10497.32057,8943.517963,3049.005496,13534.739619999998,8438.243773999999
1,Afghanistan,481.48692530000005,677.0044238,684.8642695,8046.937583,4726.158713000001,10506.04039,8960.346937999999,3097.7103,13614.03365,8452.451444
2,Afghanistan,511.8816315,702.8728182,698.6037209,8156.920612000001,4732.985469,10513.740740000001,8974.646337,3152.6904879999997,13698.7349,8454.321712
3,Afghanistan,540.6922979,735.2311899,718.0294251,8309.869419,4760.525271,10583.63171,9043.68161,3214.655896,13860.62741,8507.31969
4,Afghanistan,570.6665158,765.8790671,734.8811086000001,8488.531529,4794.894802000001,10700.49833,9131.222067,3272.3231149999997,14065.398290000001,8583.175662
5,Afghanistan,598.1357059999999,792.9550743,752.4508013999999,8683.697759,4827.338586999999,10786.4849,9221.649148,3316.445516,14242.30535,8687.274664
6,Afghanistan,620.3124813999999,825.549987,776.1254548999999,8925.85525,4885.459694,10958.650020000001,9368.377979,3379.034511,14511.81075,8836.670338
7,Afghanistan,631.7738502999999,862.3019039999999,805.9455107000001,9241.250845,4977.835021,11225.15396,9605.295515,3457.083571,14884.9584,9074.388004
8,Albania,1253.315664,107.27205320000002,56.94624576,3335.402402,512.4480328,798.9982217999999,165.03744719999997,1382.434742,1862.565854,991.3605899
9,Albania,1293.9544130000002,112.04050409999999,56.98111433,3469.749551,527.7422041,776.6940602000001,153.1802132,1419.174283,1910.513458,1010.1576660000001
10,Albania,1332.879621,116.48628219999999,57.08923011,3582.0798229999996,543.9869994,757.2053495,144.5958283,1454.093466,1956.9995190000002,1028.026275
11,Albania,1372.969274,121.6164233,57.33989286,3713.108075,563.4180352000001,749.5480610000001,140.6707727,1496.700877,2015.316025,1052.6694
12,Albania,1419.653773,127.10812609999999,57.48291682,3869.697735,584.2971291,783.6614912,140.51983140000002,1546.179911,2080.626378,1080.159547
13,Albania,1444.9991220000002,131.8445426,57.68434082,3969.522821,600.6561554,780.4678677999999,140.14756619999997,1577.19397,2123.608609,1098.261399
14,Albania,1467.884547,136.8316471,57.79015963,4066.5097189999997,616.1155997999999,780.1221342,140.68339640000002,1622.403364,2163.4129980000002,1114.018464
15,Albania,1485.350647,141.5175619,57.75968084,4161.156448,632.5092922,784.6990017,142.3951046,1668.336331,2206.716542,1130.544001
16,Algeria,904.5537833999999,1592.230266,895.1944889,16098.26262,6631.615096,7300.710670999999,4719.638631,4833.132869,13722.681680000002,9696.367788
17,Algeria,900.7655989,1651.22994,910.4793927000001,16390.7513,6830.582284,7293.932578,4656.462145,4982.871759000001,14075.61194,9944.045461
18,Algeria,900.2655527000001,1706.5820800000001,928.0973295,16681.84707,6996.762266,7270.232499,4584.407615,5111.207161,14346.97181,10153.28391
19,Algeria,902.3230653999999,1773.06334,944.8654103,17002.614709999998,7192.594383,7305.0722590000005,4561.925175,5251.699614,14694.46446,10411.27415
20,Algeria,909.498282,1843.528751,953.5360009,17346.823519999998,7403.060740999999,7385.12182,4566.4617100000005,5398.696516,15068.04842,10692.51274
21,Algeria,915.2399309,1912.4674699999998,959.3584992000001,17734.431959999998,7607.378772,7453.798398999999,4581.814573,5540.4837259999995,15441.10371,10969.85327
22,Algeria,923.5633469,1965.545305,957.9124377,18130.961,7772.983704,7511.304416,4588.381388000001,5662.491288,15708.89499,11190.19802
